No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Padang Bakjok;1112020001;Padang Bak Jok;11.12.02.2017
2;Suak Nibong;1112020002;Suak Nibong;11.12.02.2018
3;Drien Kipah;1112020003;Drien Kipah;11.12.02.2015
4;Bineh Krueng;1112020004;Bineh Krueng;11.12.02.2014
5;Drien Jalo;1112020005;Drien Jalo;11.12.02.2016
6;Padang Kawa;1112020006;Padang Kawa;11.12.02.2005
7;Mesjid;1112020007;Mesjid;11.12.02.2003
8;Adan;1112020008;Adan;11.12.02.2001
9;Pante Geulumpang;1112020009;Pante Geulumpang;11.12.02.2002
10;Gunung Cut;1112020010;Gunong Cut;11.12.02.2004
11;Padang Bak Jeumpa;1112020011;Padang Bak Jeumpa;11.12.02.2007
12;Blang Padang;1112020012;Blang Padang;11.12.02.2006
13;Suak Labu;1112020013;Suak Labu;11.12.02.2008
14;Kuta Bak Drin;1112020014;Kuta Bak Drien;11.12.02.2019
15;Ie Lhop;1112020015;Ie Lhob;11.12.02.2020
