No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Bak Sukon;1108031001;Bak Sukon;11.06.16.2026
2;Siron Krueng;1108031002;Siron Krueng;11.06.16.2032
3;Siron Blang;1108031003;Siron Blang;11.06.16.2031
4;Bueng Simek;1108031004;Bueng Simek;11.06.16.2012
5;Bithak;1108031005;Bithak;11.06.16.2014
6;Tutui;1108031006;Tutui;11.06.16.2019
7;Pakuk;1108031007;Pakuk;11.06.16.2016
8;Pasar Lampaku;1108031008;Pasar Lampaku;11.06.16.2020
9;Sigapang;1108031009;Sigapang;11.06.16.2018
10;Keureuweung Krueng;1108031010;Keuruweung Krueng;11.06.16.2030
11;Keureuweung Blang;1108031011;Keuruweung Blang;11.06.16.2029
12;Glee Jai;1108031012;Glee Jai;11.06.16.2028
13;Lampakuk;1108031013;Lampakuk;11.06.16.2001
14;Banda Safa;1108031014;Banda Safa;11.06.16.2013
15;Lamtui;1108031015;Lamtui;11.06.16.2010
16;Lambeugak;1108031016;Lambeugak;11.06.16.2015
17;Lamleupung;1108031017;Lamleupung;11.06.16.2004
18;Cot Bayu;1108031018;Cot Bayu;11.06.16.2027
19;Keumireu;1108031019;Keumireu;11.06.16.2023
20;Lamleuot;1108031020;Lamleuot;11.06.16.2024
21;Leupung Baleu;1108031021;Leupung Balue;11.06.16.2025
22;Ie Alang Lamkeureumeuh;1108031022;Ie Alang Lamkreumeuh;11.06.16.2006
23;Ie Alang Mesjid;1108031023;Ie Alang Mesjid;11.06.16.2008
24;Ie Alang Dayah;1108031024;Ie Alang Dayah;11.06.16.2009
25;Ie Alang Lamghui;1108031025;Ie Alang Lamghui;11.06.16.2007
26;Maheng;1108031026;Maheng;11.06.16.2021
27;Leupung Bruek;1108031027;Leupung Bruek;11.06.16.2022
28;Lam Aling;1108031028;Lam Aling;11.06.16.2003
29;Lamsie;1108031029;Lamsie;11.06.16.2017
30;Lampoh Raja;1108031030;Lampoh Raja;11.06.16.2002
31;Barih Lhok;1108031031;Barih Lhok;11.06.16.2011
32;Lamkleng;1108031032;Lamkleng;11.06.16.2005
