No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Beradeun;1108120001;Beuradeun;11.06.08.2014
2;Keuneueu;1108120002;Keuneu Eu;11.06.08.2016
3;Lampisang;1108120003;Lampisang;11.06.08.2015
4;Rima Jeune;1108120004;Rima Jeuneu;11.06.08.2021
5;Rima Keunerum;1108120005;Rima Keuneurom;11.06.08.2026
6;Ajuen;1108120006;Ajuen;11.06.08.2025
7;Lam Hasan;1108120007;Lam Hasan;11.06.08.2023
8;Payatieng;1108120008;Paya Tieng;11.06.08.2024
9;Lamgeu-eu;1108120009;Lam Geu Eu;11.06.08.2022
10;Lam Rukam;1108120010;Lam Rukam;11.06.08.2019
11;Gurah;1108120011;Gurah;11.06.08.2020
12;Lam Isek;1108120012;Lam Isek;11.06.08.2017
13;Lam Keumok;1108120013;Lamkeumok;11.06.08.2018
14;Lamlumpu;1108120014;Lam Lumpu;11.06.08.2008
15;Lam Teeh;1108120015;Lamteh;11.06.08.2007
16;Baro;1108120016;Gampong Baro;11.06.08.2005
17;Lam Manyang;1108120017;Lam Manyang;11.06.08.2006
18;Lam Awee;1108120018;Lam Awe;11.06.08.2012
19;Meunasah Tuha;1108120019;Meunasah Tuha;11.06.08.2011
20;Lam Teungoh;1108120020;Lamteungoh;11.06.08.2009
21;Lam Tutui;1108120021;Lamtutui;11.06.08.2010
22;Lam Guron;1108120022;Lamguron;11.06.08.2002
23;Lam Badeuk;1108120023;Lambadeuk;11.06.08.2001
24;Lambaro Neujid;1108120024;Lambaro Nejid;11.06.08.2003
25;Lam Pageu;1108120025;Lampageu;11.06.08.2004
26;Pulo Bunta;1108120026;Pulo Bunta;11.06.08.2013
