No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Trumon;1103010;Trumon;11.01.09
2;Trumon Timur;1103011;Trumon Timur;11.01.16
3;Trumon Tengah;1103012;Trumon Tengah;11.01.18
4;Trumon Tengah;1103012;Trumon Tengah;11.01.18
5;Bakongan;1103020;Bakongan;11.01.01
6;Bakongan Timur;1103021;Bakongan Timur;11.01.15
7;Kota Bahagia;1103022;Kota Bahagia;11.01.17
8;Kluet Selatan;1103030;Kluet Selatan;11.01.03
9;Kluet Timur;1103031;Kluet Timur;11.01.14
10;Kluet Utara;1103040;Kluet Utara;11.01.02
11;Pasie Raja;1103041;Pasi Raja;11.01.10
12;Kluet Tengah;1103042;Kluet Tengah;11.01.13
13;Tapak Tuan;1103050;Tapaktuan;11.01.08
14;Sama Dua;1103060;Samadua;11.01.06
15;Sawang;1103070;Sawang;11.01.07
16;Meukek;1103080;Meukek;11.01.05
17;Labuhan Haji;1103090;Labuhan Haji;11.01.04
18;Labuhan Haji Timur;1103091;Labuhan Haji Timur;11.01.11
19;Labuhan Haji Barat;1103092;Labuhan Haji Barat;11.01.12
