No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Ujung Padang Asahan;1103041001;Ujung Padang Asahan;11.01.10.2019
2;Pulo Ie Ii;1103041002;Pulo Ie Ii;11.01.10.2020
3;Ie Mirah;1103041003;Ie Mirah;11.01.10.2012
4;Ujung Padang Rasian;1103041004;Ujung Padang Rasian;11.01.10.2014
5;Pasi Rasian;1103041005;Pasie Rasian;11.01.10.2013
6;Teupin Gajah;1103041006;Teupin Gajah;11.01.10.2018
7;Kampung Baro;1103041007;Kampung Baru;11.01.10.2004
8;Krueng Kelee;1103041008;Krueng Kalee;11.01.10.2015
9;Lhok Sialang Rayeuk;1103041009;Lhok Sialang Rayeuk;11.01.10.2016
10;Lhok Sialang Cut;1103041010;Lhok Sialang Cut;11.01.10.2010
11;Payateuk;1103041011;Paya Ateuk;11.01.10.2006
12;Silolo;1103041012;Silolo;11.01.10.2003
13;Kampung Baru;1103041013;Kampung Baru;11.01.10.2004
14;Si Neubok;1103041014;Seuneubok;11.01.10.2011
15;Ladang Tuha;1103041015;Ladang Tuha;11.01.10.2007
16;Panton Bili;1103041016;Panton Bili;11.01.10.2005
17;Ladang Teungoh;1103041017;Ladang Teungoh;11.01.10.2001
18;Pucuk Krueng;1103041018;Pucok Krueng;11.01.10.2002
19;Mata Ie;1103041019;Mata Ie;11.01.10.2008
20;Ujung Batu;1103041020;Ujong Batee;11.01.10.2009
21;Pante Raja;1103041021;Pante Raja;11.01.10.2021
