No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Sawang Bau;1103070001;Sawang Ba'u;11.01.07.2015
2;Ujung Padang;1103070002;Ujung Padang;11.01.07.2014
3;Kuta Baro;1103070003;Kuta Baro;11.01.07.2011
4;Simpang Iii;1103070004;Simpang Tiga;11.01.07.2010
5;Blang Gelinggang;1103070005;Blang Geulinggang;11.01.07.2012
6;Meuligo;1103070006;Meuligo;11.01.07.2003
7;Sawang I;1103070007;Sawang I;11.01.07.2002
8;Sawang Ii;1103070008;Sawang Ii;11.01.07.2005
9;Ujung Karang;1103070009;Ujung Karang;11.01.07.2006
10;Lhok Pawoh;1103070010;Lhok Pawoh;11.01.07.2004
11;Panton Luas;1103070011;Panton Luas;11.01.07.2009
12;Trieng Meuduro Tunong;1103070012;Trieng Meuduro Tunong;11.01.07.2008
13;Trieng Meuduro Baroh;1103070013;Trieng Meuduro Baroh;11.01.07.2007
14;Sikulat;1103070014;Sikulat;11.01.07.2001
15;Mutiara;1103070015;Mutiara;11.01.07.2013
