No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Lawe Kinga T Tinggi;1104022001;Lawe Kinga Tebing Tinggi;11.02.10.2005
2;Lawe Beringin Horas;1104022002;Lawe Beringin Horas;11.02.10.2007
3;Lawe Beringin Gayo;1104022003;Lawe. Berigin Gayo;11.02.10.2008
4;Suka Makmur;1104022004;Suka Makmur;11.02.10.2009
5;Ngk Alur Buluh;1104022005;Ngkeran Alur Buluh;11.02.10.2013
6;Simpang Semadam;1104022006;Simpang Semadam;11.02.10.2001
7;Semadam Awal;1104022007;Semadam Awal;11.02.10.2002
8;Kebun Sere;1104022008;Kebun Sere;11.02.10.2006
9;Semadam Asal;1104022009;Semadam Asal;11.02.10.2003
10;Lawe Kinga Gab;1104022010;Lawe Kinga Gabungan;11.02.10.2004
11;Titi Pasir;1104022011;Titi Pasir;11.02.10.2011
12;Pasar Puntung;1104022012;Pasar Puntung;11.02.10.2010
13;Lawe Petanduk;1104022013;Lawe Petanduk I;11.02.10.2012
14;Sepakat Segenep;1104022014;Sepakat Segenap;11.02.10.2015
15;Kampung Baru;1104022015;Kampung Baru;11.02.10.2014
16;Selamat Indah;1104022016;Selamat Indah;11.02.10.2016
17;Lawe Mejile;1104022017;Lawe Mejile;11.02.10.2018
18;Lawe Kinga Lapter;1104022018;Lawe Kinge Lapter;11.02.10.2017
19;Lawe Petanduk I;1104022019;Lawe Petanduk I;11.02.10.2012
