No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Keumuneng;1105160006;Keumuneng;11.03.02.2003
2;Ladang Baro;1105160007;Ladang Baro;11.03.02.2004
3;Seuneubok Baro;1105160008;Seuneubok Baro;11.03.02.2007
4;Seuneubok Rambong;1105160009;Seuneubok Rambong;11.03.02.2006
5;Teupin Raya;1105160010;Teupin Raya;11.03.02.2010
6;Buket Panyang;1105160011;Buket Panyang;11.03.02.2005
7;Blang Keumuhang;1105160012;Blang Keumahang;11.03.02.2001
8;Bukit Makmur;1105160013;Buket Makmu;11.03.02.2035
9;Buket Dindeng;1105160014;Bukit Dindeng;11.03.02.2030
10;Lhok Rambong;1105160015;Lhok Rambong;11.03.02.2011
11;Blang Mideun;1105160016;Blang Mideun;11.03.02.2008
12;Blang Jambee;1105160017;Blang Jambee;11.03.02.2002
13;Paya Bakong;1105160018;Paya Bakong;11.03.02.2009
14;Buket Seraja;1105160019;Bukit Seroja;11.03.02.2024
15;Blang Paoh Sa;1105160020;---;---
16;Ulee Ateung;1105160021;Ulee Ateung;11.03.02.2013
17;Mane Rampak;1105160022;Mane Rampak;11.03.02.2017
18;Ujong Tunong;1105160023;Ujong Tunong;11.03.02.2029
19;Paya Pasi;1105160024;Paya Pasi;11.03.02.2031
20;Blang Gleum;1105160025;Blang Gleum;11.03.02.2033
21;Alue Cek Doy;1105160026;Alue Cek Doi;11.03.02.2032
22;Tumpok Teungoh;1105160027;Tumpok Teungoh;11.03.02.2027
23;Matang;1105160028;Matang;11.03.02.2018
24;Julok Tunong;1105160029;Julok Tunong;11.03.02.2012
25;Blang Paoh Dua;1105160030;Blang Pauh Dua;11.03.02.2021
26;Keude Kuta Binjai;1105160031;Keude Kuta Binjei;11.03.02.2023
27;Ulee Tanoh;1105160032;Ulee Tanoh;11.03.02.2022
28;Kuala Geulumpang;1105160033;Kuala Geulumpang;11.03.02.2025
29;Blang Uyok;1105160034;Blang Uyok;11.03.02.2019
30;Ulee Blang;1105160035;Ulee Blang;11.03.02.2014
31;Naleung;1105160036;Naleung;11.03.02.2016
32;Labohan;1105160037;Labuhan;11.03.02.2015
33;Gampong Baro;1105160038;Gampong Baro;11.03.02.2026
34;Seumatang;1105160039;Seumatang;11.03.02.2028
35;Tanjong Tok Blang;1105160040;Tanjong Tok Blang;11.03.02.2034
36;Simpang Lhee;1105160041;Simpang Lhee;11.03.02.2037
37;Lhok Seuntang;1105160042;Lhok Seuntang;11.03.02.2036
