No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Paya Deumam Peut;1105181001;Paya Demam Peut;11.03.12.2013
2;Paya Naden;1105181002;Paya Naden;11.03.12.2018
3;Tanjung Ara;1105181003;Tanjong Ara;11.03.12.2016
4;Tanjung Minjei;1105181004;Tanjong Minjei;11.03.12.2019
5;Seuneubok Pidie;1105181005;Seuneubok Pidie;11.03.12.2023
6;Rambong Lop;1105181006;Rambong Lop;11.03.12.2015
7;Matang Jrok;1105181007;Matang Jrok;11.03.12.2017
8;Matang Nibong;1105181008;Matang Nibong;11.03.12.2025
9;Madat;1105181009;Madat;11.03.12.2001
10;Abeuk Geulanteu;1105181010;Abeuk Geulanteu;11.03.12.2014
11;Matang Kupula Sa;1105181011;Matang Keupula Sa;11.03.12.2002
12;Ulee Ateung;1105181012;Ulee Ateung;11.03.12.2005
13;Blang Andam;1105181013;Blang Andam;11.03.12.2024
14;Bintah;1105181014;Bintah;11.03.12.2022
15;Blang Awe;1105181015;Blang Awe;11.03.12.2021
16;Pante Meureubo;1105181016;Pante Merbo;11.03.12.2020
17;Lueng Sa;1105181017;Lueng Sa;11.03.12.2026
18;Matang Kupula Lhee;1105181018;Matang Keupula Lhee;11.03.12.2004
19;Matang Kupula Dua;1105181019;Matang Keupula Dua;11.03.12.2003
20;Blang Ubit;1105181020;Blang Ubit;11.03.12.2006
21;Lueng Peut;1105181021;Lueng Peut;11.03.12.2012
22;Lueng Dua;1105181022;Lueng Dua;11.03.12.2011
23;Matang Guru;1105181023;Matang Guru;11.03.12.2007
24;Pante Bayam;1105181024;Pantee Bayam;11.03.12.2008
25;Meunasah Tiengkeum;1105181025;Meunasah Tingkeum;11.03.12.2010
26;Meunasah Asan;1105181026;Meunasah Asan;11.03.12.2009
