No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Asan Rampak;1105131001;Asan Rampak;11.03.16.2008
2;Buket Kuta;1105131002;Buket Kuta;11.03.16.2012
3;Blang Kuta;1105131003;Blang Kuta;11.03.16.2014
4;Alue Batee;1105131004;Alue Batee;11.03.16.2004
5;Paya Bili Sa;1105131005;Paya Bili Sa;11.03.16.2017
6;Blang Buket;1105131006;Blang Buket;11.03.16.2015
7;Kuta Baro;1105131007;Kuta Baro;11.03.16.2003
8;Seuneubok Teungoh;1105131008;Seuneubok Teungoh;11.03.16.2011
9;Seuneubok Punteut;1105131009;Seuneubok Peunteut;11.03.16.2016
10;Sama Dua;1105131010;Sama Dua;11.03.16.2013
11;Kampung Keude;1105131011;Gampong Keude;11.03.16.2001
12;Meunasah Krueng;1105131012;Meunasah Krueng;11.03.16.2002
13;Paya Bili Dua;1105131013;Paya Bili Dua;11.03.16.2006
14;Paya Dua;1105131014;Paya Dua;11.03.16.2010
15;Kampung Kuala;1105131015;Gampong Kuala;11.03.16.2009
16;Alue Ie Itam;1105131016;Alue Ie Itam;11.03.16.2007
17;Matang Rayeuk;1105131017;Matang Rayeuk;11.03.16.2005
