No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Suka Damai;1111041001;Suka Damai;11.08.25.2011
2;Pulo Meuria;1111041002;Pulo Meuria;11.08.25.2010
3;Krueng Mbang;1111041003;Krueng Mbang;11.08.25.2009
4;Dayah Seupeng;1111041004;Dayah Seupeng;11.08.25.2006
5;Uram Jalan;1111041005;Uram Jalan;11.08.25.2007
6;Peudari;1111041006;Peudari;11.08.25.2008
7;Rayeuk Jawa;1111041007;Rayeuk Jawa;11.08.25.2005
8;Darussalam;1111041008;Darussalam;11.08.25.2004
9;Alue Awe;1111041009;Alue Awe;11.08.25.2003
10;Lhok Asan;1111041010;Lhok Asan;11.08.25.2001
11;Darul Aman;1111041011;Darul Aman;11.08.25.2002
