No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Tanjong Krueng Pase;1111140001;Tanjong Krueng Pase;11.08.10.2015
2;Matang Munye;1111140002;Matang Munye;11.08.10.2010
3;Blang;1111140003;Blang;11.08.10.2013
4;Glok Aron;1111140004;Glok;11.08.10.2007
5;Mee Aron;1111140005;Mee Aron;11.08.10.2006
6;Meuria Aron;1111140006;Meuria Aron;11.08.10.2005
7;U Blang Asan;1111140007;---;---
8;Kanot;1111140008;Kanot;11.08.10.2004
9;Dayah Aron;1111140009;Dayah Aron;11.08.10.2002
10;Moncrang;1111140010;Moncrang;11.08.10.2003
11;Keude Aron;1111140011;Keude Aron;11.08.10.2001
12;Teungoh;1111140012;Teungoh;11.08.10.2014
13;Kumbang;1111140013;Kumbang;11.08.10.2018
14;Cibrek Tunong;1111140014;Cibrek Tunong;11.08.10.2009
15;Meucat;1111140015;Meucat;11.08.10.2029
16;Dayah Teungku;1111140016;Daya Teungku;11.08.10.2034
17;Calong;1111140017;Calong;11.08.10.2020
18;Manyang Baroh;1111140018;Manyang Baroh;11.08.10.2021
19;Alue Gunto;1111140019;Alue Gunto;11.08.10.2023
20;Peurupok;1111140020;Peurupok;11.08.10.2022
21;Pulo;1111140021;Pulo;11.08.10.2024
22;Tanjong Mulieng;1111140022;Tanjong Mulieng;11.08.10.2033
23;Cibrek Baroh;1111140023;Cibrek Baroh;11.08.10.2008
24;Mesjid;1111140024;Mesjid;11.08.10.2016
25;Pante;1111140025;Pante;11.08.10.2011
26;Keutapang;1111140026;Keutapang;11.08.10.2012
27;Keude Teupin Punti;1111140027;Keude Teupin Punti;11.08.10.2017
28;Awe;1111140028;Awe;11.08.10.2032
29;Hagu;1111140029;Hagu;11.08.10.2031
30;Ara;1111140030;Ara;11.08.10.2030
31;Mampree;1111140031;Mampree;11.08.10.2028
32;Ampeh;1111140032;Ampeh;11.08.10.2026
33;Dayah Meuria;1111140033;Dayah Meuria;11.08.10.2027
34;Kulam;1111140034;Kulam;11.08.10.2025
