No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Timang Gajah;1117011001;Timang Gajah;11.17.10.2007
2;Reronga;1117011002;Reronga;11.17.10.2010
3;Pantan Lues;1117011003;Pantan Lues;11.17.10.2008
4;Meriah Jaya;1117011004;Meriah Jaya;11.17.10.2006
5;Umah Besi;1117011005;Umah Besi;11.17.10.2004
6;Pante Karya;1117011006;Pante Karya;11.17.10.2005
7;Simpang Rahmat;1117011007;Simpang Rahmat;11.17.10.2001
8;Gajah Putih;1117011008;Gajah Putih;11.17.10.2002
9;Gayo Setie;1117011009;Gayo Setie;11.17.10.2003
10;Alam Jaya;1117011010;Alam Jaya;11.17.10.2009
