No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Paloh Kayee Kunyet;1110100005;Paloh Kaye Kunyet;11.11.07.2023
2;Tanjong Raya;1110100006;Tanjong Raya;11.11.07.2033
3;Paya Seupat;1110100007;Paya Seupat;11.11.07.2029
4;Paya Kareung;1110100008;Paya Kareung;11.11.07.2031
5;Blang Kubu;1110100009;Blang Kubu;11.11.07.2035
6;Paya Baro;1110100014;Paya Baro;11.11.07.2022
7;Tanjong Mesjid;1110100015;Tanjong Mesjid;11.11.07.2034
8;Mon Jeureujak;1110100016;Mon Jeurujak;11.11.07.2032
9;Dama Kawan;1110100017;Dama Kawan;11.11.07.2028
10;Cot Rambat;1110100018;Cot Rambat;11.11.07.2030
11;Blang Guron;1110100019;Blang Guron;11.11.07.2027
12;Cot Teubee;1110100020;Cot Tube;11.11.07.2025
13;Tanjong Bungong;1110100021;Tanjong Bungong;11.11.07.2036
14;Pulo Gisa;1110100022;Pulo Gisa;11.11.07.2037
15;Ujong Bayu;1110100023;Ujong Bayu;11.11.07.2038
16;Cot Tufah;1110100024;Cot Tufah;11.11.07.2020
17;Cot Tunong;1110100025;Cot Tunong;11.11.07.2021
18;Cot Puuk;1110100039;Cot Puuk;11.11.07.2014
19;Paloh Me;1110100040;Paloh Me;11.11.07.2008
20;Geurugok;1110100041;Geurugok;11.11.07.2018
21;Cot Jabet;1110100042;Cot Jabet;11.11.07.2024
22;Pante Sikeumbong;1110100043;Pante Sikumbong;11.11.07.2026
23;Ceubo;1110100044;Ceubo;11.11.07.2007
24;Keude Lapang;1110100045;Keude Lapang;11.11.07.2001
25;Blang Keude;1110100046;Blang Kede;11.11.07.2019
26;Cot Mane;1110100047;Cot Mane;11.11.07.2011
27;Lhok Mambang;1110100057;Lhok Mambang;11.11.07.2009
28;Lapang Timur;1110100058;Lapang Timu;11.11.07.2004
29;Teupin Siron;1110100059;Teupin Siron;11.11.07.2005
30;Ie Rhob;1110100060;Ie Rhop;11.11.07.2006
31;Alue Mangki;1110100061;Alue Mangki;11.11.07.2016
32;Lingka Kuta;1110100062;Lingka Kuta;11.11.07.2003
33;Lapang Barat;1110100063;Lapang Barat;11.11.07.2002
34;Samuti Krueng;1110100064;Samuti Krueng;11.11.07.2010
35;Samuti Makmur;1110100065;Samuti Makmur;11.11.07.2012
36;Samuti Rayeuk;1110100066;Samuti Rayeuk;11.11.07.2013
37;Samuti Aman;1110100076;Samuti Aman;11.11.07.2015
38;Mon Keulayu;1110100077;Mon Keulayu;11.11.07.2017
39;Mon Jambe;1110100078;Mon Jambe;11.11.07.2078
40;Blang Rheu;1110100079;Blang Rheue;11.11.07.2079
