No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Marpunge;1113021001;---;---
2;Ramung Musara;1113021002;Ramung Musara;11.13.07.2003
3;Meloak Sepakat;1113021003;Meloak Sepakat;11.13.07.2004
4;Gumpang Pekan;1113021004;Gumpang;11.13.07.2001
5;Pintu Gayo;1113021005;---;---
6;Jeret Onom;1113021006;---;---
7;Kute Lengat Sepakat;1113021007;Kutelengat Sepakat;11.13.07.2005
8;Pungke Jaya;1113021008;---;---
9;Singah Mule;1113021009;Singah Mulo;11.13.07.2006
10;Meloak Aih Ilang;1113021010;---;---
11;Uning Pune;1113021011;Uning Pune;11.13.07.2007
12;Putri Betung;1113021012;Putri Betung;11.13.07.2009
13;Gumpang Lempuh;1113021013;Gumpang Lempuh;11.13.07.2008
