No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Papeun;1109230001;Papeun;11.07.12.2016
2;Tuha Biheue;1109230002;Tuha Biheue;11.07.12.2017
3;Batee;1109230003;Batee;11.07.12.2014
4;Ingin Jaya;1109230004;Ingin Jaya;11.07.12.2015
5;Blang Raya;1109230005;Blang Raya;11.07.12.2013
6;Ujong Pie;1109230006;Ujong Pie;11.07.12.2012
7;Sagoe;1109230007;Sagoe;11.07.12.2011
8;Ie Masen;1109230008;Ie Masen;11.07.12.2010
9;Krueng;1109230009;Krueng;11.07.12.2008
10;Gle Cut;1109230010;Gle Cut;11.07.12.2009
11;Deyah;1109230011;Dayah;11.07.12.2007
12;Pawod;1109230012;Pawod;11.07.12.2006
13;Sukajaya;1109230013;Suka Jaya;11.07.12.2005
14;Keupula;1109230014;Keupula;11.07.12.2004
15;Mesjid;1109230015;Mesjid;11.07.12.2003
16;Tgk. Di Laweung;1109230016;Tgk Di Laweung;11.07.12.2002
17;Cot;1109230017;Cot;11.07.12.2001
18;Simpang Beutuong;1109230018;Simpang Beutong;11.07.12.2018
