No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Ujung Salang;1101040001;Ujung Salang;11.09.02.2001
2;Padang Unoi;1101040002;Padang Unoi;11.09.02.2002
3;Meunafa;1101040003;Meunafa;11.09.02.2004
4;Nasreuhe;1101040004;Nasreuhe;11.09.02.2003
5;Along;1101040005;Along;11.09.02.2005
6;Panton Lawe;1101040006;Panton Lawe;11.09.02.2006
7;Mutiara;1101040007;Mutiara;11.09.02.2007
8;Karya Bakti;1101040008;Karya Bakti;11.09.02.2009
9;Tamon Jaya;1101040009;Tamon Jaya;11.09.02.2008
10;Jaya Baru;1101040010;Jaya Baru;11.09.02.2010
11;Tameng;1101040011;Tameng;11.09.02.2011
12;Lalla Bahagia;1101040012;Lalla Bahagia;11.09.02.2012
13;Suak Manang;1101040013;Suak Manang;11.09.02.2013
14;Bunga;1101040014;Bunga;11.09.02.2016
15;Ganang Pusako;1101040015;Ganang Pusako;11.09.02.2014
16;Kenangan Jaya;1101040016;Kenangan Jaya;11.09.02.2015
