No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Dihit;1101030001;Dihit;11.09.01.2013
2;Lauke;1101030002;Leuke;11.09.01.2023
3;Lambaya;1101030003;Lambaya;11.09.01.2012
4;Lakubang;1101030004;Lakubang;11.09.01.2011
5;Kampung Aie;1101030005;Kampung Aie;11.09.01.2008
6;Lauree;1101030006;Lauree;11.09.01.2009
7;Latitik;1101030007;Latitik;11.09.01.2016
8;Lamayang;1101030008;Lamayang;11.09.01.2010
9;Wel Wel;1101030009;Wel Wel;11.09.01.2007
10;Situfa Jaya;1101030020;Situfa Jaya;11.09.01.2024
11;Putra Jaya;1101030021;Putra Jaya;11.09.01.2022
12;Luan Sorip;1101030022;Luan Sorip;11.09.01.2021
13;Suak Baru;1101030023;Suak Baru;11.09.01.2020
14;Sebbe;1101030024;Sebbe;11.09.01.2019
15;Kuta Baru;1101030025;Kuta Baru;11.09.01.2018
16;Wel Langkom;1101030026;Wel Langkom;11.09.01.2017
