No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Cupel;5101020001;Cupel;51.01.01.2001
2;Tegal Badeng Barat;5101020002;Tegal Badeng Barat;51.01.01.2010
3;Tegal Badeng Timur;5101020003;Tegal Badeng Timur;51.01.01.2009
4;Pengambengan;5101020004;Pengambengan;51.01.01.2011
5;Loloan Barat;5101020012;Loloan Barat;51.01.01.1014
6;Lelateng;5101020013;Lelateng;51.01.01.1013
7;Banjar Tengah;5101020014;Banjar Tengah;51.01.01.1008
8;Baluk;5101020015;Baluk;51.01.01.2002
9;Banyubiru;5101020016;Banyu Biru;51.01.01.2003
10;Kaliakah;5101020017;Kaliakah;51.01.01.2004
11;Berangbang;5101020018;Berangbang;51.01.01.2005
12;Baler Bale Agung;5101020019;Baler Bale Agung;51.01.01.1006
