No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Citerep;3604240001;Citerep;36.04.09.2002
2;Ranjeng;3604240002;Ranjeng;36.04.09.2014
3;Ciruas;3604240003;Ciruas;36.04.09.2001
4;Kadikaran;3604240004;Kadikaran;36.04.09.2004
5;Singamerta;3604240005;Singamerta;36.04.09.2013
6;Pulo;3604240006;Pulo;36.04.09.2003
7;Gosara;3604240008;Gosara;36.04.09.2006
8;Kepandean;3604240009;Kepandean;36.04.09.2005
9;Pamong;3604240010;Pamong;36.04.09.2011
10;Cigelam;3604240011;Cigelam;36.04.09.2012
11;Penggalang;3604240012;Penggalang;36.04.09.2010
12;Bumijaya;3604240013;Bumijaya;36.04.09.2009
13;Keserangan;3604240015;Kaserangan;36.04.09.2016
14;Beberan;3604240016;Beberan;36.04.09.2015
15;Pelawad;3604240017;Pelawad;36.04.09.2017
