No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Cileles;3603020001;Cileles;36.03.03.2011
2;Bantar Panjang;3603020002;Bantar Panjang;36.03.03.2014
3;Sodong;3603020003;Sodong;36.03.03.2012
4;Tapos;3603020004;Tapos;36.03.03.2013
5;Marga Sari;3603020013;Margasari;36.03.03.2010
6;Kadu Agung;3603020014;Kadu Agung;36.03.03.1007
7;Mata Gara;3603020015;Matagara;36.03.03.2003
8;Tigaraksa;3603020016;Tigaraksa;36.03.03.1001
9;Pete;3603020017;Pete;36.03.03.2005
10;Tegalsari;3603020018;Tegalsari;36.03.03.2006
11;Pematang;3603020019;Pematang;36.03.03.2008
12;Pasir Nangka;3603020020;Pasir Nangka;36.03.03.2004
13;Cisereh;3603020021;Cisereh;36.03.03.2009
14;Pasir Bolang;3603020022;Pasir Bolang;36.03.03.2002
