No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Lawang Agung;1701042012;Lawang Agung;17.01.01.2015
2;Durian Sebatang;1701042013;Durian Sebatang;17.01.01.2014
3;Pajar Bulan;1701042014;Pajar Bulan;17.01.01.2013
4;Tanjung Besar;1701042015;Tanjung Besar;17.01.01.2012
5;Muara Tiga;1701042016;Muara Tiga;17.01.01.2011
6;Sukananti;1701042017;Suka Nanti;17.01.01.2010
7;Tanjung Negara;1701042018;Tanjung Negara;17.01.01.2008
8;Tanjung Alam;1701042019;Tanjung Alam;17.01.01.2007
9;Keban Agung Iii;1701042020;Keban Agung Iii;17.01.01.2009
10;Keban Agung Ii;1701042021;Keban Agung Ii;17.01.01.2006
11;Keban Agung I;1701042022;Keban Agung I;17.01.01.2005
12;Palak Siring;1701042023;Palak Siring;17.01.01.2004
13;Bumi Agung;1701042024;Bumi Agung;17.01.01.2003
14;Rantau Sialang;1701042025;Rantau Sialang;17.01.01.2002
15;Batu Ampar;1701042026;Batu Ampar;17.01.01.2001
16;Muara Tiga Ilir;1701042027;Muara Tiga Ilir;17.01.01.2030
17;Nanti Agung;1701042028;Nanti Agung;17.01.01.2027
18;Karang Agung;1701042029;Karang Agung;17.01.01.2028
19;Lubuk Resam;1701042030;Lubuk Resam;17.01.01.2029
