No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Kampung Baru;1701041006;Kampung Baru;17.01.05.1016
2;Pagar Dewa;1701041007;Pagar Dewa;17.01.05.2001
3;Pasar Baru;1701041008;Pasar Baru;17.01.05.1017
4;Kota Medan;1701041013;Kota Medan;17.01.05.1010
5;Gunung Ayu;1701041014;Gunung Ayu;17.01.05.1009
6;Padang Niur;1701041015;Padang Niur;17.01.05.2004
7;Tebat Kubu;1701041016;Tebat Kubu;17.01.05.2005
8;Gelumbang;1701041017;Gelumbang;17.01.05.2006
9;Padang Kapuk;1701041018;Padang Kapuk;17.01.05.1020
10;Ibul;1701041019;Ibul;17.01.05.1019
11;Padang Berangin;1701041020;Padang Berangin;17.01.05.2018
