No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Talang Empat;1709010;Talang Empat;17.09.02
2;Karang Tinggi;1709020;Karang Tinggi;17.09.01
3;Taba Penanjung;1709030;Taba Penanjung;17.09.06
4;Merigi Kelindang;1709031;Merigi Kelindang;17.09.07
5;Pagar Jati;1709040;Pagar Jati;17.09.05
6;Merigi Sakti;1709041;Merigi Sakti;17.09.08
7;Pondok Kelapa;1709050;Pondok Kelapa;17.09.03
8;Pondok Kubang;1709051;Pondok Kubang;17.09.09
9;Pematang Tiga;1709060;Pematang Tiga;17.09.04
10;Bang Haji;1709061;Bang Haji;17.09.10
