No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Gardu;1703061001;Gardu;17.03.21.2007
2;Pagar Banyu;1703061002;Pagar Banyu;17.03.21.2006
3;Pematang Sapang;1703061003;Pematang Sapang;17.03.21.2005
4;Sumber Agung;1703061004;Sumber Agung;17.03.21.2004
5;Sidodadi;1703061005;Sidodadi;17.03.21.2003
6;Gunung Besar;1703061006;Gunung Besar;17.03.21.2012
7;Kali;1703061007;Kali;17.03.21.2008
8;Air Merah;1703061009;Air Merah;17.03.21.2011
9;Tebing Kaning;1703061010;Tebing Kaning;17.03.21.2002
10;Kalai Duai;1703061012;Kalai Duai;17.03.21.2009
