No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Padang Manis;1704070027;Padang Manis;17.04.03.2003
2;Gunung Agung;1704070028;Gunung Agung;17.04.03.2009
3;Bandu Agung;1704070029;Bandu Agung;17.04.03.2021
4;Simpang Tiga;1704070031;Simpang Tiga;17.04.03.1010
5;Guru Agung I;1704070032;Guru Agung Ii;17.04.03.2031
6;Tanjung Betung I;1704070034;Tanjung Betung Ii;17.04.03.2027
7;Pancur Negara;1704070040;Pancur Negara;17.04.03.2029
8;Perugaian;1704070041;Perugaian;17.04.03.2030
9;Coko Enau;1704070042;Coko Enau;17.04.03.2028
10;Tanjung Betung Ii;1704070043;Tanjung Betung Ii;17.04.03.2027
11;Guru Agung Ii;1704070045;Guru Agung Ii;17.04.03.2031
