No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Kepala Siring;1702044001;Kepala Siring;17.02.19.1001
2;Talang Rimbo Baru;1702044002;Talang Rimbo Baru;17.02.19.1002
3;Talang Rimbo Lama;1702044003;Talang Rimbo Lama;17.02.19.1003
4;Banyumas;1702044004;Banyu Mas;17.02.19.1009
5;Pelabuhan Baru;1702044005;Pelabuhan Baru;17.02.19.1007
6;Kampung Jawa;1702044006;Kampung Jawa;17.02.19.1005
7;Sidorejo;1702044007;Siderejo;17.02.19.1004
8;Air Bang;1702044008;Air Bang;17.02.19.1006
9;Air Merah;1702044009;Air Merah;17.02.19.2010
10;Batu Galing;1702044010;Batu Galing;17.02.19.1008
