No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Pering Baru;1705032001;Pering Baru;17.05.12.2001
2;Suka Merindu;1705032002;Suka Merindu;17.05.12.2003
3;Suka Bulan;1705032003;Suka Bulan;17.05.12.2009
4;Talang Padang;1705032004;Talang Padang;17.05.12.2002
5;Taba;1705032005;Taba;17.05.12.2005
6;Bakal Dalam;1705032006;Bakal Dalam;17.05.12.2006
7;Lubuk Lagan;1705032008;Lubuk Lagan;17.05.12.2007
8;Napalan;1705032009;Napalan;17.05.12.2004
9;Tebat Sibun;1705032010;Tebat Sibun;17.05.12.2010
10;Batu Balai;1705032011;Batu Balai;17.05.12.2011
11;Batu Balai;1705032011;Batu Balai;17.05.12.2011
