No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Pagar;1705033001;Pagar;17.05.13.2001
2;Banyu Kencana;1705033002;Banyu Kencana;17.05.13.2010
3;Pagar Agung;1705033003;Pagar Agung;17.05.13.2003
4;Air Keruh;1705033004;Air Keruh;17.05.13.2006
5;Muara Simpur;1705033005;Muara Simpur;17.05.13.2002
6;Hargo Binangun;1705033006;Hargo Binangun;17.05.13.2007
7;Simpur Ijang;1705033007;Simpur Ijang;17.05.13.2005
8;Mekar Jaya;1705033008;Mekar Jaya;17.05.13.2008
9;Giri Nanto;1705033009;Giri Nanto;17.05.13.2009
10;Giri Mulya;1705033010;Giri Mulya;17.05.13.2013
11;Tanjung Agung;1705033012;Tanjung Agung;17.05.13.2012
12;Muara Nibung;1705033013;Muara Nibung;17.05.13.2011
