No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Ipilo;7505011001;Ipilo;75.05.06.2004
2;Molonggota;7505011002;Molonggota;75.05.06.2003
3;Gentuma;7505011003;Gentuma;75.05.06.2001
4;Dumolodo;7505011004;Dumolodo;75.05.06.2002
5;Langke;7505011012;Langke;75.05.06.2005
6;Durian;7505011013;Durian;75.05.06.2010
7;Motomingo;7505011014;Motomingo;75.05.06.2009
8;Bohusami;7505011015;Bohusami;75.05.06.2011
9;Ketapang;7505011016;Ketapang;75.05.06.2008
10;Pasalae;7505011017;Pasalae;75.05.06.2006
11;Nanati Jaya;7505011018;Nanati Jaya;75.05.06.2007
