No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Pulau Baru;1502043001;Pulau Baru;15.02.12.2003
2;Rantau Alai;1502043002;Rantau Alai;15.02.12.2007
3;Lubuk Gaung;1502043003;Lubuk Gaung;15.02.12.2001
4;Titian Teras;1502043004;Titian Teras;15.02.12.2005
5;Salam Buku;1502043005;Salam Buku;15.02.12.2002
6;Kederasan Panjang;1502043006;Kedarasan Panjang;15.02.12.2006
7;Pulau Layang;1502043007;Pulau Layang;15.02.12.2010
8;Pelangki;1502043008;Pelangki;15.02.12.2009
9;Nibung;1502043009;Nibung;15.02.12.2004
10;Tambang Besi;1502043010;Tambang Besi;15.02.12.2008
