No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Beram Itam Kanan;1507031001;Bram Itam Kanan;15.06.11.2002
2;Beram Itam Kiri;1507031002;Bram Itam Kiri;15.06.11.1001
3;Pembengis;1507031003;Pembengis;15.06.11.2004
4;Tanjung Senjulang;1507031004;Tanjungsenjulang;15.06.11.2003
5;Jati Emas;1507031005;Jati Emas;15.06.11.2007
6;Kemuning;1507031006;Kemuning;15.06.11.2008
7;Pantai Gading;1507031007;Pantaigading;15.06.11.2006
8;Bram Itam Raya;1507031008;Bram Itam Raya;15.06.11.2005
9;Mekar Tanjung;1507031009;Mekar Tanjung;15.06.11.2009
10;Semau;1507031010;Semau;15.06.11.2010
