No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Tanjung Pucuk Jambi;1508041001;Matebo;15.09.01.1001
2;Kuamang;1508041002;Kuamang;15.09.06.2002
3;Teluk Kayu Putih;1508041003;Teluk Kayu Putih;15.09.06.2003
4;Dusun Baru;1508041006;Dusun Baru;15.09.06.2014
5;Muara Niro;1508041011;Muara Niro;15.09.06.2007
6;Aur Cino;1508041012;Aur Cino;15.09.06.2005
7;Sungai Abang;1508041013;Sungai Abang;15.09.06.2004
8;Teluk Lancang;1508041014;Teluk Lancang;15.09.06.2013
9;Muara Tabun;1508041015;Muara Tabun;15.09.06.2016
10;Tabun;1508041016;Tabun;15.09.06.2015
