No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Karyamukti;3217040001;Karyamukti;32.17.11.2007
2;Nanggerang;3217040002;Nanggerang;32.17.11.2010
3;Mukapayung;3217040003;Mukapayung;32.17.11.2009
4;Rancapanggung;3217040004;Rancapanggung;32.17.11.2011
5;Bongas;3217040005;Bongas;32.17.11.2004
6;Batulayang;3217040006;Batulayang;32.17.11.2003
7;Cililin;3217040007;Cililin;32.17.11.2001
8;Karangtanjung;3217040008;Karangtanjung;32.17.11.2006
9;Kidangpananjung;3217040010;Kidangpananjung;32.17.11.2008
10;Budiharja;3217040018;Budiharja;32.17.11.2002
11;Karanganyar;3217040019;Karanganyar;32.17.11.2005
