No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Ciwidey;3204010;Ciwidey;32.04.39
2;Rancabali;3204011;Rancabali;32.04.40
3;Pasirjambu;3204020;Pasirjambu;32.04.38
4;Cimaung;3204030;Cimaung;32.04.17
5;Pangalengan;3204040;Pangalengan;32.04.15
6;Kertasari;3204050;Kertasari;32.04.31
7;Pacet;3204060;Pacet;32.04.30
8;Ibun;3204070;Ibun;32.04.36
9;Paseh;3204080;Paseh;32.04.35
10;Cikancung;3204090;Cikancung;32.04.27
11;Cicalengka;3204100;Cicalengka;32.04.25
12;Nagreg;3204101;Nagreg;32.04.26
13;Rancaekek;3204110;Rancaekek;32.04.28
14;Majalaya;3204120;Majalaya;32.04.33
15;Solokan Jeruk;3204121;Solokanjeruk;32.04.34
16;Ciparay;3204130;Ciparay;32.04.29
17;Baleendah;3204140;Baleendah;32.04.32
18;Arjasari;3204150;Arjasari;32.04.16
19;Banjaran;3204160;Banjaran;32.04.13
20;Cangkuang;3204161;Cangkuang;32.04.44
21;Pameungpeuk;3204170;Pameungpeuk;32.04.14
22;Katapang;3204180;Katapang;32.04.11
23;Soreang;3204190;Soreang;32.04.37
24;Kutawaringin;3204191;Kutawaringin;32.04.46
25;Margaasih;3204250;Margaasih;32.04.10
26;Margahayu;3204260;Margahayu;32.04.09
27;Dayeuhkolot;3204270;Dayeuhkolot;32.04.12
28;Bojongsoang;3204280;Bojongsoang;32.04.08
29;Cileunyi;3204290;Cileunyi;32.04.05
30;Cilengkrang;3204300;Cilengkrang;32.04.07
31;Cimenyan;3204310;Cimenyan;32.04.06
