No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Cibunian;3201030001;Cibunian;32.01.17.2002
2;Purwabakti;3201030002;Purwabakti;32.01.17.2001
3;Ciasmara;3201030003;Ciasmara;32.01.17.2015
4;Ciasihan;3201030004;Ciasihan;32.01.17.2013
5;Gunung Sari;3201030005;Gunungsari;32.01.17.2014
6;Gunung Bunder 2;3201030006;Gunungbunder Ii;32.01.17.2005
7;Gunung Bunder 1;3201030007;Gunungbunder I;32.01.17.2010
8;Cibening;3201030008;Cibening;32.01.17.2009
9;Gunung Picung;3201030009;Gunung Picung;32.01.17.2012
10;Cibitung Kulon;3201030010;Cibitung Kulon;32.01.17.2011
11;Cibitung Wetan;3201030011;Cibitungwetan;32.01.17.2003
12;Pamijahan;3201030012;Pamijahan;32.01.17.2008
13;Pasarean;3201030013;Pasarean;32.01.17.2006
14;Gunung Menyan;3201030014;Gunungmenyan;32.01.17.2004
15;Cimayang;3201030015;Cimayang;32.01.17.2007
