No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Karangpari;3207180001;Karangpari;32.07.15.2009
2;Bojonggedang;3207180002;Bojonggedang;32.07.15.2008
3;Cisontrol;3207180003;Cisontrol;32.07.15.2004
4;Cileungsir;3207180004;Cileungsir;32.07.15.2003
5;Kiarapayung;3207180005;Kiarapayung;32.07.15.2002
6;Kawunglarang;3207180006;Kawunglarang;32.07.15.2006
7;Rancah;3207180007;Rancah;32.07.15.2001
8;Situmandala;3207180008;Situmandala;32.07.15.2005
9;Patakaharja;3207180009;Patakaharja;32.07.15.2007
10;Dadiharja;3207180010;Dadiharja;32.07.15.2010
11;Jangalaharja;3207180011;Jangalaharja;32.07.15.2011
12;Giriharja;3207180012;Giriharja;32.07.15.2012
13;Wangunsari;3207180013;Wangunsari;32.07.15.2013
