No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Sinarlaut;3203010001;Sinarlaut;32.03.22.2010
2;Bojongkaso;3203010002;Bojongkaso;32.03.22.2005
3;Sukamanah;3203010003;Sukamanah;32.03.22.2004
4;Wanasari;3203010004;Wanasari;32.03.22.2007
5;Karangsari;3203010007;Karangsari;32.03.22.2016
6;Neglasari;3203010008;Neglasari;32.03.22.2014
7;Mulyasari;3203010009;Mulyasari;32.03.22.2017
8;Bunisari;3203010010;Bunisari;32.03.22.2006
9;Mekarsari;3203010011;Mekarsari;32.03.22.2019
10;Tanjungsari;3203010012;Tanjung Sari;32.03.22.2018
11;Wangunjaya;3203010013;Wangunjaya;32.03.22.2022
