No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Wangunjaya;3203110001;Wangunjaya;32.03.15.2009
2;Sukadana;3203110002;Sukadana;32.03.15.2005
3;Karyamukti;3203110003;Karyamukti;32.03.15.2007
4;Cimenteng;3203110004;Cimenteng;32.03.15.2002
5;Girimukti;3203110005;Girimukti;32.03.15.2010
6;Susukan;3203110006;Susukan;32.03.15.2003
7;Sukajadi;3203110007;Sukajadi;32.03.15.2004
8;Margaluyu;3203110008;Margaluyu;32.03.15.2006
9;Mekarjaya;3203110009;Mekarjaya;32.03.15.2011
10;Cidadap;3203110010;Cidadap;32.03.15.2001
11;Campaka;3203110011;Campaka;32.03.15.2008
