No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Munjul;3209080004;Munjul;32.09.10.2004
2;Sidamulya;3209080005;Sidamulya;32.09.10.2005
3;Mertapada Kulon;3209080006;Mertapada Kulon;32.09.10.2006
4;Mertapada Wetan;3209080007;Mertapada Wetan;32.09.10.2007
5;Buntet;3209080008;Buntet;32.09.10.2008
6;Kanci Kulon;3209080009;Kanci Kulon;32.09.10.2009
7;Kanci;3209080010;Kanci;32.09.10.2010
8;Astanajapura;3209080011;Astanajapura;32.09.10.2011
9;Kendal;3209080015;Kendal;32.09.10.2012
10;Japura Kidul;3209080016;Japura Kidul;32.09.10.2013
11;Japurabakti;3209080017;Japura Bakti;32.09.10.2014
