No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Sukamurni;3205140001;Sukamurni;32.05.19.2018
2;Sukamaju;3205140002;Sukamaju;32.05.19.2014
3;Sukatani;3205140003;Sukatani;32.05.19.2017
4;Mekarsari;3205140004;Mekarsari;32.05.19.2007
5;Dayeuhmanggung;3205140005;Dayeuhmanggung;32.05.19.2013
6;Karyamekar;3205140006;Karyamekar;32.05.19.2003
7;Cilawu;3205140007;Cilawu;32.05.19.2001
8;Pasanggrahan;3205140008;Pasanggrahan;32.05.19.2005
9;Margalaksana;3205140009;Margalaksana;32.05.19.2011
10;Dawungsari;3205140010;Dawungsari;32.05.19.2004
11;Dangiang;3205140011;Dangiang;32.05.19.2012
12;Sukamukti;3205140012;Sukamukti;32.05.19.2002
13;Mekarmukti;3205140013;Mekarmukti;32.05.19.2008
14;Sukahati;3205140014;Sukahati;32.05.19.2006
15;Mangkurayat;3205140015;Mangurakyat;32.05.19.2015
16;Desakolot;3205140016;Desakolot;32.05.19.2009
17;Ngamplang;3205140017;Ngamplang;32.05.19.2016
18;Ngamplangsari;3205140018;Ngamplangsari;32.05.19.2010
