No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Pasanggrahan;3205220001;Pasanggrahan;32.05.15.2008
2;Sukamukti;3205220006;Sukamukti;32.05.15.2002
3;Mekarluyu;3205220007;Mekarluyu;32.05.15.2003
4;Sukawening;3205220008;Sukawening;32.05.15.2001
5;Sudalarang;3205220009;Sudalarang;32.05.15.2005
6;Maripari;3205220010;Maripari;32.05.15.2009
7;Sukahaji;3205220011;Sukahaji;32.05.15.2007
8;Sukasono;3205220012;Sukasono;32.05.15.2006
9;Sukaluyu;3205220013;Sukaluyu;32.05.15.2004
10;Mekarwangi;3205220014;Mekarwangi;32.05.15.2010
11;Mekarhurip;3205220015;Mekar Hurip;32.05.15.2011
