No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Curug;3212190001;Curug;32.12.21.2001
2;Pranti;3212190002;Pranti;32.12.21.2002
3;Wirakanan;3212190003;Wirakanan;32.12.21.2003
4;Karangmulya;3212190004;Karangmulya;32.12.21.2004
5;Karanganyar;3212190005;Karang Anyar;32.12.21.2005
6;Wirapanjunan;3212190006;Wirapanjunan;32.12.21.2006
7;Parean Girang;3212190007;Pareangirang;32.12.21.2007
8;Bulak;3212190008;Bulak;32.12.21.2008
9;Ilir;3212190009;Ilir;32.12.21.2009
10;Soge;3212190010;Soge;32.12.21.2010
11;Eretan Wetan;3212190011;Eretan Wetan;32.12.21.2011
12;Eretan Kulon;3212190012;Eretan Kulon;32.12.21.2012
13;Kertawinangun;3212190013;Kertawinangun;32.12.21.2013
