No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Tunggulpayung;3212050001;Tunggul Payung;32.12.05.2001
2;Tugu;3212050002;Tugu;32.12.05.2002
3;Nunuk;3212050003;Nunuk;32.12.05.2003
4;Tempel;3212050004;Tempel;32.12.05.2004
5;Pangauban;3212050005;Pangauban;32.12.05.2005
6;Telagasari;3212050006;Tegalasari;32.12.05.2006
7;Langgengsari;3212050007;Langgengsari;32.12.05.2007
8;Tamansari;3212050008;Tamansari;32.12.05.2008
9;Lelea;3212050009;Lelea;32.12.05.2009
10;Cempeh;3212050010;Cempeh;32.12.05.2010
11;Tempelkulon;3212050011;Tempelkulon;32.12.05.2011
