No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Pasirtalaga;3215100001;Pasirtalaga;32.15.17.2003
2;Talagamulya;3215100002;Telagamulya;32.15.17.2001
3;Cariumulya;3215100003;Cariumulya;32.15.17.2004
4;Cilewo;3215100004;Cilewo;32.15.17.2011
5;Linggarsari;3215100005;Linggarsari;32.15.17.2013
6;Pulosari;3215100006;Pulosari;32.15.17.2014
7;Ciwulan;3215100007;Ciwulan;32.15.17.2012
8;Kalijaya;3215100008;Kalijaya;32.15.17.2008
9;Cadaskertajaya;3215100009;Cadas Kertajaya;32.15.17.2010
10;Kalibuaya;3215100010;Kalibuaya;32.15.17.2006
11;Talagasari;3215100011;Telagasari;32.15.17.2002
12;Pasirmukti;3215100012;Pasirmukti;32.15.17.2005
13;Pasirkamuning;3215100013;Pasirkamuning;32.15.17.2007
14;Kalisari;3215100014;Kalisari;32.15.17.2009
