No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Nangerang;3214080001;Nangerang;32.14.09.2008
2;Simpang;3214080002;Simpang;32.14.09.2004
3;Sakambang;3214080003;Sakambang;32.14.09.2012
4;Nagrog;3214080004;Nagrog;32.14.09.2005
5;Cibuntu;3214080005;Cibuntu;32.14.09.2006
6;Sumurugul;3214080006;Sumurugul;32.14.09.2010
7;Raharja;3214080007;Raharja;32.14.09.2011
8;Wanayasa;3214080008;Wanayasa;32.14.09.2001
9;Babakan;3214080009;Babakan;32.14.09.2007
10;Wanasari;3214080016;Wanasari;32.14.09.2003
11;Legokhuni;3214080017;Legokhuni;32.14.09.2014
12;Ciawi;3214080018;Ciawi;32.14.09.2009
13;Sukadami;3214080019;Sukadami;32.14.09.2002
14;Taringgul Tonggoh;3214080020;Taringgul Tonggoh;32.14.09.2013
15;Taringgul Tengah;3214080021;Taringgul Tengah;32.14.09.2015
