No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Padaasih;3202200007;Padaasih;32.02.29.2010
2;Cisaat;3202200008;Cisaat;32.02.29.2004
3;Babakan;3202200009;Babakan;32.02.29.2006
4;Sukamantri;3202200010;Sukamantri;32.02.29.2007
5;Sukamanah;3202200011;Sukamanah;32.02.29.2003
6;Nagrak;3202200012;Nagrak;32.02.29.2005
7;Cibatu;3202200013;Cibatu;32.02.29.2008
8;Cibolang Kaler;3202200014;Cibolang Kaler;32.02.29.2011
9;Kutasirna;3202200015;Kutasirna;32.02.29.2012
10;Selajambe;3202200016;Selajambe;32.02.29.2009
11;Sukasari;3202200017;Sukasari;32.02.29.2002
12;Gunungjaya;3202200018;Gunungjaya;32.02.29.2001
13;Sukaresmi;3202200019;Sukaresmi;32.02.29.2013
