No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Pasirbaru;3202290001;Pasir Baru;32.02.05.2002
2;Cikahuripan;3202290002;Cikahuripan;32.02.05.2003
3;Cisolok;3202290003;Cisolok;32.02.05.2001
4;Karangpapak;3202290004;Karangpapak;32.02.05.2008
5;Sirnaresmi;3202290012;Sirnaresmi;32.02.05.2009
6;Cicadas;3202290013;Cicadas;32.02.05.2010
7;Cikelat;3202290014;Cikelat;32.02.05.2004
8;Gunung Kramat;3202290015;Gunungkaramat;32.02.05.2006
9;Gunung Tanjung;3202290016;Gunungtanjung;32.02.05.2007
10;Caringin;3202290017;Caringin;32.02.05.2005
11;Sukarame;3202290018;Sukarame;32.02.05.2013
12;Wangunsari;3202290019;Wangunsari;32.02.05.2012
13;Wanajaya;3202290020;Wanajaya;32.02.05.2011
