No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Ciheras;3206010001;Ciheras;32.06.01.2001
2;Cipanas;3206010002;Cipanas;32.06.01.2010
3;Ciandum;3206010003;Ciandum;32.06.01.2012
4;Cipatujah;3206010004;Cipatujah;32.06.01.2002
5;Sindangkerta;3206010005;Sindangkerta;32.06.01.2003
6;Cikawungading;3206010006;Cikawunggading;32.06.01.2004
7;Kertasari;3206010007;Kertasari;32.06.01.2011
8;Padawaras;3206010008;Padawaras;32.06.01.2014
9;Darawati;3206010009;Darawati;32.06.01.2006
10;Bantarkalong;3206010010;Bantarkalong;32.06.01.2005
11;Tobongjaya;3206010011;Tobongjaya;32.06.01.2009
12;Nangelasari;3206010012;Nangelasari;32.06.01.2013
13;Nagrog;3206010013;Nagrog;32.06.01.2007
14;Pameutingan;3206010014;Pameutingan;32.06.01.2008
15;Sukahurip;3206010015;Sukahurip;32.06.01.2015
