No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Santanamekar;3206230001;Santanamekar;32.06.32.2013
2;Cisayong;3206230002;Cisayong;32.06.32.2001
3;Sukajadi;3206230003;Sukajadi;32.06.32.2002
4;Sukasukur;3206230004;Sukasukur;32.06.32.2003
5;Jatihurip;3206230005;Jatihurip;32.06.32.2008
6;Sukaraharja;3206230006;Sukaraharja;32.06.32.2011
7;Mekarwangi;3206230007;Mekarwangi;32.06.32.2012
8;Nusawangi;3206230008;Nusawangi;32.06.32.2005
9;Cikadu;3206230009;Cikadu;32.06.32.2006
10;Purwasari;3206230010;Purwasari;32.06.32.2010
11;Cileuleus;3206230011;Cileuleus;32.06.32.2007
12;Sukasetia;3206230013;Sukasetia;32.06.32.2009
13;Sukamukti;3206230014;Sukamukti;32.06.32.2004
