No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Susukan;3304010;Susukan;33.04.01
2;Purwareja Klampok;3304020;Purworeja Klampok;33.04.02
3;Mandiraja;3304030;Mandiraja;33.04.03
4;Purwanegara;3304040;Purwanegara;33.04.04
5;Bawang;3304050;Bawang;33.04.05
6;Banjarnegara;3304060;Banjarnegara;33.04.06
7;Pagedongan;3304061;Pagedongan;33.04.20
8;Sigaluh;3304070;Sigaluh;33.04.07
9;Madukara;3304080;Madukara;33.04.08
10;Banjarmangu;3304090;Banjarmangu;33.04.09
11;Wanadadi;3304100;Wanadadi;33.04.10
12;Rakit;3304110;Rakit;33.04.11
13;Punggelan;3304120;Punggelan;33.04.12
14;Karangkobar;3304130;Karangkobar;33.04.13
15;Pagentan;3304140;Pagentan;33.04.14
16;Pejawaran;3304150;Pejawaran;33.04.15
17;Batur;3304160;Batur;33.04.16
18;Wanayasa;3304170;Wanayasa;33.04.17
19;Kalibening;3304180;Kalibening;33.04.18
20;Pandanarum;3304181;Pandanarum;33.04.19
