No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Kalilunjar;3304150001;Kalilunjar;33.04.15.2001
2;Biting;3304150002;Biting;33.04.15.2006
3;Tlahab;3304150003;Tlahap;33.04.15.2007
4;Darmayasa;3304150004;Darmayasa;33.04.15.2008
5;Pejawaran;3304150005;Pejawaran;33.04.15.2009
6;Pegundungan;3304150006;Pegundungan;33.04.15.2013
7;Beji;3304150007;Beji;33.04.15.2014
8;Semangkung;3304150008;Semangkung;33.04.15.2015
9;Condongcampur;3304150009;Condongcampur;33.04.15.2016
10;Gembol;3304150010;Gembol;33.04.15.2017
11;Sidengok;3304150011;Sidengok;33.04.15.2012
12;Ratamba;3304150012;Ratamba;33.04.15.2011
13;Penusupan;3304150013;Penusupan;33.04.15.2010
14;Giritirta;3304150014;Giritirta;33.04.15.2005
15;Karangsari;3304150015;Karangsari;33.04.15.2002
16;Sarwodadi;3304150016;Sarwodadi;33.04.15.2003
17;Grogol;3304150017;Grogol;33.04.15.2004
