No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Grujugan;3302060001;Grujugan;33.02.06.2001
2;Sirau;3302060002;Sirau;33.02.06.2002
3;Sibalung;3302060003;Sibalung;33.02.06.2003
4;Sibrama;3302060004;Sibrama;33.02.06.2004
5;Kedungpring;3302060005;Kedungpring;33.02.06.2005
6;Kecila;3302060006;Kecila;33.02.06.2006
7;Nusamangir;3302060007;Nusamangir;33.02.06.2007
8;Karangjati;3302060008;Karangjati;33.02.06.2008
9;Kebarongan;3302060009;Kebarongan;33.02.06.2009
10;Sidamulya;3302060010;Sidamulya;33.02.06.2010
11;Pageralang;3302060011;Pageralang;33.02.06.2011
12;Alasmalang;3302060012;Alasmalang;33.02.06.2012
13;Petarangan;3302060013;Petarangan;33.02.06.2013
14;Karanggintung;3302060014;Karanggintung;33.02.06.2014
15;Karangsalam;3302060015;Karangsalam;33.02.06.2015
