No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Randegan;3302020001;Randegan;33.02.02.2001
2;Rawaheng;3302020002;Rawaheng;33.02.02.2002
3;Pangadegan;3302020003;Pengadegan;33.02.02.2003
4;Klapagading;3302020004;Klapagading;33.02.02.2004
5;Klapagading Kulon;3302020005;Klapagading Kulon;33.02.02.2012
6;Wangon;3302020006;Wangon;33.02.02.2005
7;Banteran;3302020007;Banteran;33.02.02.2006
8;Jambu;3302020008;Jambu;33.02.02.2007
9;Jurangbahas;3302020009;Jurangbahas;33.02.02.2008
10;Cikakak;3302020010;Cikakak;33.02.02.2009
11;Wlahar;3302020011;Wlahar;33.02.02.2010
12;Windunegara;3302020012;Windunegara;33.02.02.2011
