No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Gondel;3316040001;Gondel;33.16.04.2001
2;Ketuwan;3316040002;Ketuwan;33.16.04.2002
3;Jimbung;3316040003;Jimbung;33.16.04.2003
4;Panolan;3316040004;Panolan;33.16.04.2004
5;Klagen;3316040005;Klagen;33.16.04.2005
6;Kemantren;3316040006;Kemantren;33.16.04.2006
7;Sidorejo;3316040007;Sidorejo;33.16.04.2007
8;Wado;3316040008;Wado;33.16.04.2008
9;Pulo;3316040009;Pulo;33.16.04.2009
10;Tanjung;3316040010;Tanjung;33.16.04.2010
11;Sogo;3316040011;Sogo;33.16.04.2011
12;Bajo;3316040012;Bajo;33.16.04.2012
13;Nglandeyan;3316040013;Nglandeyan;33.16.04.2013
14;Kalen;3316040014;Kalen;33.16.04.2014
15;Ngraho;3316040015;Ngraho;33.16.04.2015
16;Kedungtuban;3316040016;Kedungtuban;33.16.04.2016
17;Galuk;3316040017;Galuk;33.16.04.2017
