No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Sempu;3309160001;Sempu;33.09.16.2003
2;Gondangrawe;3309160002;Gondangrawe;33.09.16.2002
3;Pakel;3309160003;Pakel;33.09.16.2001
4;Senggrong;3309160004;Senggrong;33.09.16.2006
5;Mojo;3309160005;Mojo;33.09.16.2005
6;Beji;3309160006;Beji;33.09.16.2004
7;Andong;3309160007;Andong;33.09.16.2009
8;Kacangan;3309160008;Kacangan;33.09.16.2008
9;Kedungdowo;3309160009;Kedungdowo;33.09.16.2007
10;Pranggong;3309160010;Pranggong;33.09.16.2012
11;Pakang;3309160011;Pakang;33.09.16.2011
12;Munggur;3309160012;Munggur;33.09.16.2010
13;Kadipaten;3309160013;Kadipaten;33.09.16.2016
14;Semawung;3309160014;Semawung;33.09.16.2015
15;Kunti;3309160015;Kunti;33.09.16.2013
16;Pelemrejo;3309160016;Pelemrejo;33.09.16.2014
