No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Tanjung;3309150001;Tanjung;33.09.15.2003
2;Sendangrejo;3309150002;Sendangrejo;33.09.15.2002
3;Kalangan;3309150003;Kalangan;33.09.15.2001
4;Sangge;3309150004;Sangge;33.09.15.2006
5;Jaten;3309150005;Jaten;33.09.15.2004
6;Blumbang;3309150006;Blumbang;33.09.15.2005
7;Bade;3309150007;Bade;33.09.15.2008
8;Klego;3309150008;Klego;33.09.15.2009
9;Gondanglegi;3309150009;Gondanglegi;33.09.15.2010
10;Karanggatak;3309150010;Karanggatak;33.09.15.2011
11;Banyuurip;3309150011;Banyuurip;33.09.15.2007
12;Sumberagung;3309150012;Sumberagung;33.09.15.2012
13;Karangmojo;3309150013;Karangmojo;33.09.15.2013
