No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Singosari;3309060001;Singosari;33.09.06.2002
2;Tambak;3309060002;Tambak;33.09.06.2003
3;Manggis;3309060003;Manggis;33.09.06.2004
4;Jurug;3309060004;Jurug;33.09.06.2005
5;Karangnongko;3309060005;Karangnongko;33.09.06.2006
6;Madu;3309060006;Madu;33.09.06.2001
7;Kemiri;3309060007;Kemiri;33.09.06.1007
8;Butuh;3309060008;Butuh;33.09.06.2008
9;Mojosongo;3309060009;Mojosongo;33.09.06.1009
10;Kragilan;3309060010;Kragilan;33.09.06.2010
11;Brajan;3309060011;Brajan;33.09.06.2011
12;Metuk;3309060012;Metuk;33.09.06.2012
13;Dlingo;3309060013;Dlingo;33.09.06.2013
