No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Ngargorejo;3309110001;Ngargorejo;33.09.11.2001
2;Sobokerto;3309110002;Sobokerto;33.09.11.2002
3;Ngesrep;3309110003;Ngesrep;33.09.11.2003
4;Gagaksipat;3309110004;Gagaksipat;33.09.11.2004
5;Donohudan;3309110005;Donohudan;33.09.11.2005
6;Sawahan;3309110006;Sawahan;33.09.11.2006
7;Pandeyan;3309110007;Pandeyan;33.09.11.2007
8;Kismoyoso;3309110008;Kismoyoso;33.09.11.2008
9;Dibal;3309110009;Dibal;33.09.11.2009
10;Sindon;3309110010;Sindon;33.09.11.2010
11;Manggung;3309110011;Manggung;33.09.11.2011
12;Giriroto;3309110012;Giriroto;33.09.11.2012
