No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Kedungoleng;3329040001;Kedungoleng;33.29.04.2003
2;Winduaji;3329040002;Winduaji;33.29.04.2012
3;Wanatirta;3329040003;Wanatirta;33.29.04.2011
4;Paguyangan;3329040004;Paguyangan;33.29.04.2006
5;Pakujati;3329040005;Pakujati;33.29.04.2007
6;Taraban;3329040006;Taraban;33.29.04.2010
7;Pagojengan;3329040007;Pagojengan;33.29.04.2005
8;Kretek;3329040008;Kretek;33.29.04.2004
9;Ragatunjung;3329040009;Ragatunjung;33.29.04.2009
10;Cilibur;3329040010;Cilibur;33.29.04.2001
11;Cipetung;3329040011;Cipetung;33.29.04.2002
12;Pandansari;3329040012;Pandansari;33.29.04.2008
