No;Nama Kecamatan;Kode Kecamatan;Nama Kecamatan;Kode Kecamatan
1;Dayeuhluhur;3301010;Dayeuhluhur;33.01.16
2;Wanareja;3301020;Wanareja;33.01.15
3;Majenang;3301030;Majenang;33.01.14
4;Cimanggu;3301040;Cimanggu;33.01.13
5;Karangpucung;3301050;Karangpucung;33.01.12
6;Cipari;3301060;Cipari;33.01.18
7;Sidareja;3301070;Sidareja;33.01.11
8;Kedungreja;3301080;Kedungreja;33.01.01
9;Patimuan;3301090;Patimuan;33.01.19
10;Gandrungmangu;3301100;Gandrungmangu;33.01.10
11;Bantarsari;3301110;Bantarsari;33.01.20
12;Kawunganten;3301120;Kawunganten;33.01.09
13;Kampung Laut;3301121;Kampung Laut;33.01.24
14;Jeruklegi;3301130;Jeruklegi;33.01.08
15;Kesugihan;3301140;Kesugihan;33.01.02
16;Adipala;3301150;Adipala;33.01.03
17;Maos;3301160;Maos;33.01.07
18;Sampang;3301170;Sampang;33.01.17
19;Kroya;3301180;Kroya;33.01.06
20;Binangun;3301190;Binangun;33.01.04
21;Nusawungu;3301200;Nusawungu;33.01.05
22;Cilacap Selatan;3301710;Cilacap Selatan;33.01.21
23;Cilacap Tengah;3301720;Cilacap Tengah;33.01.22
24;Cilacap Utara;3301730;Cilacap Utara;33.01.23
