No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Tegalsari;3301070001;Tegalsari;33.01.11.2007
2;Margasari;3301070002;Margasari;33.01.11.2008
3;Tinggarjaya;3301070003;Tinggarjaya;33.01.11.2001
4;Gunungreja;3301070004;Gunungreja;33.01.11.2009
5;Sidareja;3301070005;Sidareja;33.01.11.2002
6;Sidamulya;3301070006;Sidamulya;33.01.11.2003
7;Sudagaran;3301070007;Sudagaran;33.01.11.2010
8;Kunci;3301070008;Kunci;33.01.11.2004
9;Karanggedang;3301070009;Karanggedang;33.01.11.2005
10;Penyarang;3301070010;Penyarang;33.01.11.2006
