No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Kalikondang;3321070001;Kalikondang;33.21.11.2012
2;Donorejo;3321070002;Donorojo;33.21.11.2013
3;Katonsari;3321070003;Katonsari;33.21.11.2011
4;Mangunjiwan;3321070004;Mangunjiwan;33.21.11.1014
5;Karangmlati;3321070005;Karangmlati;33.21.11.2010
6;Kalicilik;3321070006;Kalicilik;33.21.11.1015
7;Singorejo;3321070007;Singorejo;33.21.11.1016
8;Betokan;3321070008;Betokan;33.21.11.1017
9;Bintoro;3321070009;Bintoro;33.21.11.1018
10;Kadilangu;3321070010;Kadilangu;33.21.11.1019
11;Bolo;3321070011;Bolo;33.21.11.2001
12;Bango;3321070012;Bango;33.21.11.2002
13;Cabean;3321070013;Cabean;33.21.11.2008
14;Tempuran;3321070014;Tempuran;33.21.11.2009
15;Turirejo;3321070015;Turirejo;33.21.11.2006
16;Raji;3321070016;Raji;33.21.11.2007
17;Kedondong;3321070017;Kedondong;33.21.11.2003
18;Sedo;3321070018;Sedo;33.21.11.2004
19;Mulyorejo;3321070019;Mulyorejo;33.21.11.2005
