No;Nama Desa / Kelurahan;Kode Desa / Kelurahan;Nama Desa / Kelurahan;Kode Desa / Kelurahan
1;Merak;3321090008;Merak;33.21.07.2001
2;Karangrejo;3321090009;Karangrejo;33.21.07.2002
3;Botosengon;3321090016;Botosengon;33.21.07.2004
4;Baleromo;3321090018;Baleromo;33.21.07.2009
5;Jerukgulung;3321090019;Jerukgulung;33.21.07.2005
6;Kunir;3321090020;Kunir;33.21.07.2006
7;Brakas;3321090021;Brakas;33.21.07.2007
8;Balerejo;3321090022;Balerejo;33.21.07.2008
9;Sidomulyo;3321090023;Sidomulyo;33.21.07.2003
10;Gempoldenok;3321090024;Gempoldenok;33.21.07.2013
11;Kebonsari;3321090025;Kebonsari;33.21.07.2012
12;Kedungori;3321090026;Kedungori;33.21.07.2010
13;Dempet;3321090027;Dempet;33.21.07.2017
14;Kuwu;3321090028;Kuwu;33.21.07.2011
15;Kramat;3321090029;Kramat;33.21.07.2016
16;Harjowinangun;3321090030;Harjowinangun;33.21.07.2015
